,MSZoning,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition_1,Condition_2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior_1st,Exterior_2nd,MasVnrType,MasVnrArea,Foundation,BsmtExposure,BsmtFinType_1,BsmtFinType_2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageFinish,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,_3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,YearSinceRemod,TotBathrooms
13,RL,10652,No_Alley,3,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,PConc,Av,Unf,Unf,1494,GasA,Ex,Y,SBrkr,1494,3,1,7,1,Attchd,3,3,3,160,33,0,0,0,0,No_Fence,None,8,2007,New,Partial,279500,0,2.0
14,RL,10920,No_Alley,3,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,CBlock,No,BLQ,Unf,1253,GasA,TA,Y,SBrkr,1253,2,1,5,1,Attchd,3,1,3,0,213,176,0,0,0,GdWo,None,5,2008,WD,Normal,157000,48,2.5
15,RM,6120,No_Alley,4,Lvl,Corner,1,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,BrkTil,No,Unf,Unf,832,GasA,Ex,Y,FuseA,854,2,1,5,0,Detchd,2,2,3,48,112,0,0,0,0,GdPrv,None,7,2007,WD,Normal,132000,6,1.0
16,RL,11241,No_Alley,3,Lvl,CulDSac,1,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,CBlock,No,ALQ,Unf,1004,GasA,Ex,Y,SBrkr,1004,2,1,5,1,Attchd,4,2,3,0,0,0,0,0,0,No_Fence,Shed,3,2010,WD,Normal,149000,40,2.0
17,RL,10791,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,Slab,No_basement,No_basement,No_basement,0,GasA,TA,Y,SBrkr,1296,2,2,6,0,CarPort,2,2,3,0,0,0,0,0,0,No_Fence,Shed,10,2006,WD,Normal,90000,39,2.0
18,RL,13695,No_Alley,4,Lvl,Inside,1,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,1114,GasA,Ex,Y,SBrkr,1114,3,1,6,0,Detchd,2,2,3,0,102,0,0,0,0,No_Fence,None,6,2008,WD,Normal,159000,4,2.5
19,RL,7560,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Plywood,None,0.0,CBlock,No,LwQ,Unf,1029,GasA,TA,Y,SBrkr,1339,3,1,6,0,Attchd,2,1,3,0,0,0,0,0,0,MnPrv,None,5,2009,COD,Abnorml,139000,44,1.0
20,RL,14215,No_Alley,3,Lvl,Corner,1,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,PConc,Av,Unf,Unf,1158,GasA,Ex,Y,SBrkr,2376,4,1,9,1,BuiltIn,3,3,3,240,154,0,0,0,0,No_Fence,None,11,2006,New,Partial,325300,0,3.5
21,RM,7449,Grvl,4,Bnk,Inside,1,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,No,Unf,Unf,637,GasA,Ex,Y,FuseF,1108,3,1,6,1,Attchd,2,1,1,0,0,205,0,0,0,GdPrv,None,6,2007,WD,Normal,139400,57,1.0
22,RL,9742,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,PConc,No,Unf,Unf,1777,GasA,Ex,Y,SBrkr,1795,3,1,7,1,Attchd,3,2,3,171,159,0,0,0,0,No_Fence,None,9,2008,WD,Normal,230000,6,2.0
23,RM,4224,No_Alley,4,Lvl,Inside,1,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,PConc,No,GLQ,Unf,1040,GasA,TA,Y,SBrkr,1060,3,1,6,1,Attchd,2,2,3,100,110,0,0,0,0,No_Fence,None,6,2007,WD,Normal,129900,31,2.0
24,RL,8246,No_Alley,3,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,None,0.0,CBlock,Mn,Rec,ALQ,1060,GasA,Ex,Y,SBrkr,1060,3,1,6,1,Attchd,2,1,3,406,90,0,0,0,0,MnPrv,None,5,2010,WD,Normal,154000,9,2.0
25,RL,14230,No_Alley,4,Lvl,Corner,1,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,PConc,No,Unf,Unf,1566,GasA,Ex,Y,SBrkr,1600,3,1,7,1,Attchd,3,3,3,0,56,0,0,0,0,No_Fence,None,7,2009,WD,Normal,256300,2,2.0
26,RL,7200,No_Alley,4,Lvl,Corner,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Mn,BLQ,Rec,900,GasA,TA,Y,SBrkr,900,3,1,5,0,Detchd,2,2,3,222,32,0,0,0,0,No_Fence,None,5,2010,WD,Normal,134800,10,1.5
27,RL,11478,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,PConc,No,GLQ,Unf,1704,GasA,Ex,Y,SBrkr,1704,3,1,7,1,Attchd,3,3,3,0,50,0,0,0,0,No_Fence,None,5,2010,WD,Normal,306000,2,3.0
28,RL,16321,No_Alley,3,Lvl,CulDSac,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,Gd,BLQ,Unf,1484,GasA,TA,Y,SBrkr,1600,2,1,6,2,Attchd,3,1,3,288,258,0,0,0,0,No_Fence,None,12,2006,WD,Normal,207500,9,2.0
29,RM,6324,No_Alley,3,Lvl,Inside,1,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,Unf,Unf,520,GasA,Fa,N,SBrkr,520,1,1,4,0,Detchd,2,1,3,49,0,87,0,0,0,No_Fence,None,5,2008,WD,Normal,68500,58,1.0
30,C (all),8500,Pave,4,Lvl,Inside,1,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,BrkTil,No,Unf,Unf,649,GasA,TA,N,SBrkr,1317,3,1,6,0,Detchd,2,1,1,0,54,172,0,0,0,MnPrv,None,7,2008,WD,Normal,40000,58,1.0
31,RL,8544,No_Alley,3,Lvl,CulDSac,1,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,Unf,Unf,1228,GasA,Gd,Y,SBrkr,1228,3,1,6,0,Attchd,2,1,3,0,65,0,0,0,0,MnPrv,None,6,2008,WD,Normal,149350,2,1.5
32,RL,11049,No_Alley,4,Lvl,Corner,1,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,Unf,Unf,1234,GasA,Ex,Y,SBrkr,1234,3,1,7,0,Attchd,3,2,3,0,30,0,0,0,0,No_Fence,None,1,2008,WD,Normal,179900,1,2.0
33,RL,10552,No_Alley,3,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,CBlock,No,Rec,Unf,1398,GasA,Gd,Y,SBrkr,1700,4,1,6,1,Attchd,3,2,3,0,38,0,0,0,0,No_Fence,None,4,2010,WD,Normal,165500,51,2.0
34,RL,7313,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,PConc,No,GLQ,Unf,1561,GasA,Ex,Y,SBrkr,1561,2,1,6,1,Attchd,4,2,3,203,47,0,0,0,0,No_Fence,None,8,2007,WD,Normal,277500,2,3.0
35,RL,13418,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,PConc,Av,Unf,Unf,1117,GasA,Ex,Y,SBrkr,2452,4,1,9,1,BuiltIn,4,3,3,113,32,0,0,0,0,No_Fence,None,9,2006,WD,Normal,309000,1,3.5
36,RL,10859,No_Alley,4,Lvl,Corner,1,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,1097,GasA,Ex,Y,SBrkr,1097,3,1,6,0,Attchd,2,2,3,392,64,0,0,0,0,No_Fence,None,6,2009,WD,Normal,145000,14,1.5
37,RL,8532,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,CBlock,No,Rec,Unf,1297,GasA,Gd,Y,SBrkr,1297,3,1,5,1,Attchd,4,2,3,0,0,0,0,0,0,No_Fence,None,10,2009,WD,Normal,153000,19,1.5
38,RL,7922,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,No,GLQ,Unf,1057,GasA,TA,Y,SBrkr,1057,3,1,5,0,Detchd,2,1,3,0,52,0,0,0,0,No_Fence,None,1,2010,WD,Abnorml,109000,3,2.0
39,RL,6040,No_Alley,4,Lvl,Inside,1,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,PConc,No_basement,No_basement,No_basement,0,GasA,TA,N,FuseP,1152,2,2,6,0,No_Garage,1,0,1,0,0,0,0,0,0,No_Fence,None,6,2008,WD,AdjLand,82000,53,2.0
40,RL,8658,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,CBlock,No,Rec,Unf,1088,GasA,Ex,Y,SBrkr,1324,3,1,6,1,Attchd,3,2,3,0,138,0,0,0,0,GdWo,None,12,2006,WD,Abnorml,160000,41,2.0
41,RL,16905,No_Alley,4,Lvl,Inside,1,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,Gd,BLQ,Unf,1350,GasA,Gd,Y,SBrkr,1328,2,1,5,2,Attchd,3,1,2,0,104,0,0,0,0,No_Fence,None,7,2007,WD,Normal,170000,48,2.0
42,RL,9180,No_Alley,3,Lvl,CulDSac,1,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,Av,ALQ,LwQ,840,GasA,Gd,Y,SBrkr,884,2,1,5,0,Attchd,3,2,3,240,0,0,0,0,0,MnPrv,None,12,2007,WD,Normal,144000,24,2.0
43,RL,9200,No_Alley,3,Lvl,CulDSac,1,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,VinylSd,None,0.0,CBlock,Av,LwQ,BLQ,938,GasA,TA,Y,SBrkr,938,3,1,5,0,Detchd,2,1,3,145,0,0,0,0,0,MnPrv,None,7,2008,WD,Normal,130250,28,2.0
44,RL,7945,No_Alley,4,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,CBlock,No,ALQ,BLQ,1150,GasA,Ex,Y,FuseA,1150,3,1,6,0,Attchd,3,1,3,0,0,0,0,0,0,No_Fence,None,5,2006,WD,Normal,141000,47,2.0
45,RL,7658,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,PConc,No,GLQ,Unf,1752,GasA,Ex,Y,SBrkr,1752,2,1,6,1,Attchd,3,2,3,196,82,0,0,0,0,No_Fence,None,2,2010,WD,Normal,319900,5,3.0
46,RL,12822,No_Alley,3,Lvl,CulDSac,1,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,GLQ,Unf,1434,GasA,Ex,Y,SBrkr,2149,1,1,6,1,Attchd,3,2,3,168,43,0,0,198,0,No_Fence,None,8,2009,WD,Abnorml,239686,6,2.5
47,FV,11096,No_Alley,4,Lvl,Inside,1,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,GLQ,Unf,1656,GasA,Ex,Y,SBrkr,1656,3,1,7,0,Attchd,3,3,3,0,146,0,0,0,0,No_Fence,None,7,2007,WD,Normal,249700,1,2.0
48,RM,4456,No_Alley,4,Lvl,Inside,1,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,Unf,Unf,736,GasA,Gd,Y,SBrkr,1452,2,3,8,0,No_Garage,1,0,1,0,0,102,0,0,0,No_Fence,None,6,2009,New,Partial,113000,1,2.0
49,RL,7742,No_Alley,4,Lvl,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,No,BLQ,Unf,955,GasA,Ex,Y,SBrkr,955,3,1,6,0,Attchd,2,1,3,0,0,0,0,0,0,MnPrv,None,1,2007,WD,Normal,127000,41,2.0
50,RL,13869,No_Alley,2,Lvl,Corner,1,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Av,GLQ,Unf,794,GasA,Gd,Y,SBrkr,1470,3,1,6,0,Attchd,4,2,3,0,75,0,0,0,0,No_Fence,None,7,2007,WD,Normal,177000,10,2.5
51,RM,6240,No_Alley,4,Lvl,Inside,1,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,PConc,No,Unf,Unf,816,GasA,TA,Y,SBrkr,1176,3,1,6,1,Detchd,2,2,3,112,0,0,0,0,0,MnPrv,Shed,9,2006,WD,Normal,114500,56,1.0
52,RM,8472,No_Alley,2,Bnk,Corner,2,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,Gd,LwQ,GLQ,816,GasA,TA,N,SBrkr,816,2,1,5,0,CarPort,2,2,3,106,0,0,0,0,0,No_Fence,None,5,2010,WD,Normal,110000,47,2.0
53,RL,50271,No_Alley,3,Low,Inside,1,Veenker,Norm,Norm,1Fam,1Story,9,5,1981,Gable,WdShngl,WdShing,Wd Shng,None,0.0,CBlock,Gd,GLQ,Unf,1842,GasA,Gd,Y,SBrkr,1842,0,1,5,1,Attchd,4,3,3,857,72,0,0,0,0,No_Fence,None,11,2006,WD,Normal,385000,19,2.5
54,RL,7134,No_Alley,4,Bnk,Inside,2,NAmes,Norm,Norm,1Fam,SLvl,5,5,1955,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,ALQ,Unf,384,GasA,TA,Y,SBrkr,1360,3,1,6,1,Detchd,2,2,3,0,50,0,0,0,0,MnPrv,None,2,2007,WD,Normal,130000,52,1.0
55,RL,10175,No_Alley,3,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,5,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,272.0,CBlock,No,BLQ,Unf,1425,GasA,Gd,Y,SBrkr,1425,3,1,7,1,Attchd,3,2,3,0,0,0,407,0,0,No_Fence,None,7,2008,WD,Normal,180500,44,2.0
56,FV,2645,Pave,4,Lvl,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,PConc,No,GLQ,Unf,970,GasA,Ex,Y,SBrkr,1739,3,1,7,0,Attchd,4,2,3,115,0,0,0,0,0,No_Fence,None,8,2009,WD,Abnorml,172500,9,3.5
57,RL,11645,No_Alley,3,Lvl,Corner,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,Unf,Unf,860,GasA,Ex,Y,SBrkr,1720,3,1,7,0,Attchd,3,2,3,0,70,0,0,0,0,No_Fence,None,8,2006,WD,Normal,196500,2,2.5
58,RL,13682,No_Alley,2,HLS,CulDSac,1,StoneBr,Norm,Norm,1Fam,2Story,10,5,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,1031.0,PConc,Gd,Unf,Unf,1410,GasA,Ex,Y,SBrkr,2945,3,1,10,1,BuiltIn,4,3,3,192,0,37,0,0,0,No_Fence,None,10,2006,New,Partial,438780,0,3.5
59,RL,7200,No_Alley,4,Bnk,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,Gable,CompShg,HdBoard,HdBoard,None,0.0,CBlock,Av,ALQ,Unf,780,GasA,Ex,Y,SBrkr,780,2,1,4,0,Detchd,2,1,3,196,0,0,0,0,0,MnPrv,None,1,2008,WD,Normal,124900,36,1.0
60,RL,13072,No_Alley,4,Lvl,Inside,1,SawyerW,RRAe,Norm,1Fam,1Story,6,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,No,ALQ,Unf,1158,GasA,Ex,Y,SBrkr,1158,3,1,5,0,Detchd,2,2,3,0,50,0,0,0,0,No_Fence,None,5,2006,New,Partial,158000,2,2.5
61,RM,7200,No_Alley,4,Lvl,Inside,1,IDOTRR,Norm,Norm,1Fam,2.5Unf,5,7,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,BrkTil,No,Unf,Unf,530,GasA,TA,N,SBrkr,1111,3,1,6,0,Detchd,2,1,1,0,0,144,0,0,0,No_Fence,None,3,2007,WD,Normal,101000,11,1.0
62,RL,6442,No_Alley,3,Lvl,Inside,1,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,PConc,Mn,GLQ,Unf,1370,GasA,Ex,Y,SBrkr,1370,2,1,6,1,Attchd,3,2,3,120,49,0,0,0,0,No_Fence,None,10,2007,WD,Normal,202500,1,2.0
63,RM,10300,No_Alley,3,Bnk,Inside,1,OldTown,RRAn,Feedr,1Fam,2Story,7,6,1921,Gable,CompShg,Stucco,Stucco,None,0.0,BrkTil,No,Unf,Unf,576,GasA,Gd,Y,SBrkr,1710,3,1,9,0,Detchd,2,2,3,12,11,64,0,0,0,GdPrv,None,4,2010,WD,Normal,140000,60,2.0
64,RL,9375,No_Alley,4,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,573.0,PConc,No,GLQ,Unf,1057,GasA,Ex,Y,SBrkr,2034,3,1,8,0,Attchd,3,2,3,576,36,0,0,0,0,GdPrv,None,2,2009,WD,Normal,219500,11,3.5
65,RL,9591,No_Alley,4,Lvl,Inside,1,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,344.0,PConc,Av,Unf,Unf,1143,GasA,Ex,Y,SBrkr,2473,4,1,9,1,BuiltIn,3,3,3,192,151,0,0,0,0,No_Fence,None,10,2007,WD,Normal,317000,2,2.5
66,RL,19900,No_Alley,4,Lvl,Inside,1,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,CBlock,Gd,GLQ,Unf,1947,GasA,TA,Y,SBrkr,2207,3,1,7,1,Attchd,3,2,3,301,0,0,0,0,0,No_Fence,None,7,2010,WD,Normal,180000,21,3.0
67,RL,10665,No_Alley,3,Lvl,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,167.0,PConc,Av,GLQ,Unf,1453,GasA,Ex,Y,SBrkr,1479,3,1,7,0,Attchd,3,2,3,144,29,0,0,0,0,No_Fence,None,6,2007,WD,Normal,226000,4,3.0
68,RM,4608,No_Alley,4,Lvl,Corner,1,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,Gable,CompShg,MetalSd,MetalSd,None,0.0,CBlock,No,Unf,Unf,747,GasA,TA,Y,SBrkr,747,2,1,4,0,Attchd,2,1,3,0,0,0,0,0,0,No_Fence,None,6,2010,WD,Normal,80000,60,1.0
69,RL,15593,No_Alley,4,Lvl,Corner,1,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,Gable,CompShg,BrkFace,AsbShng,None,0.0,CBlock,No,BLQ,Unf,1304,GasW,TA,Y,SBrkr,2287,3,1,7,1,Attchd,4,2,3,0,21,114,0,0,0,No_Fence,None,7,2006,WD,Normal,225000,53,2.0
70,RL,13651,No_Alley,3,Lvl,Inside,1,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115.0,CBlock,Gd,ALQ,Unf,2223,GasA,Ex,Y,SBrkr,2223,3,1,8,2,Attchd,4,2,3,300,0,0,0,0,0,No_Fence,None,2,2007,WD,Normal,244000,34,3.0
